CustomerID,Tenure,MonthlyCharges,TotalCharges,Usage,Complaints,ContractType,PaymentMethod,CustomerServiceCalls,Age,Churn
1,52,100.15371118829896,1605.8176812881534,191.41669738421763,4,Two Year,Mailed Check,0,58,1
2,15,115.95766443210334,1558.596413044217,315.31764749154024,5,Month-to-Month,Mailed Check,1,52,1
3,72,68.78540439263625,2802.650204822393,215.07136604841315,5,Month-to-Month,Electronic,5,67,0
4,61,30.97361986775035,3496.6651962605915,218.88252749406422,0,Month-to-Month,Electronic,5,57,1
5,21,74.7959488973693,6664.49845133504,155.18544455406,4,Month-to-Month,Mailed Check,1,39,0
6,24,65.4377334559961,1047.1396384344257,381.0648102251623,1,Month-to-Month,Bank Transfer,8,25,1
7,3,104.4357082739616,5905.914194419664,468.0882820832526,5,One Year,Electronic,3,32,1
8,22,29.80825807842446,4298.493822095512,470.37542961723057,1,One Year,Electronic,6,62,0
9,53,68.82411370217781,2374.7682071403406,87.39064243746691,3,Two Year,Electronic,5,24,0
10,2,35.00486646939842,3993.274717809314,437.371824828283,7,Month-to-Month,Mailed Check,2,36,1
11,30,52.467592689006,2469.542351238479,368.71572071356104,6,Two Year,Credit Card,7,57,0
12,38,93.73570773877996,4809.047446382618,126.41870034514463,7,One Year,Electronic,6,59,1
13,2,67.60181293687666,3527.3669905564293,33.642306460757275,7,Month-to-Month,Electronic,8,34,1
14,64,57.58882851457693,1398.803679723142,133.99863344218898,4,Month-to-Month,Electronic,2,18,0
15,60,59.44762785700353,1021.0062889900041,456.10411839076284,6,Month-to-Month,Credit Card,0,62,0
16,21,65.94467684059866,4418.895888369828,316.5893374478861,2,Month-to-Month,Credit Card,1,46,0
17,33,98.50165438370568,7229.062962960217,360.5273304489359,3,Month-to-Month,Electronic,0,30,0
18,58,109.20846889402344,2817.265723805716,128.57617555454792,4,One Year,Electronic,4,73,0
19,22,115.53346865039283,5890.700847058723,359.69407778741015,0,Month-to-Month,Bank Transfer,9,65,0
20,49,98.6903386255295,5303.424704024159,14.060753138961879,6,Two Year,Credit Card,1,46,1
21,59,51.54068957480128,7459.2838230449,187.6606728865069,0,Month-to-Month,Bank Transfer,2,58,0
22,42,88.81347060865421,6585.750036663213,313.3766742711656,1,Two Year,Electronic,7,59,0
23,60,63.760312405539196,4576.181545353157,73.04828277066011,7,Month-to-Month,Electronic,9,23,1
24,15,45.467062204605114,5290.540936049448,411.5017872234674,5,One Year,Electronic,4,22,1
25,62,104.08715794259226,7197.253086013876,117.51564940595932,6,Month-to-Month,Electronic,3,51,1
26,62,23.8426348962325,3256.1983982367847,326.1405564092231,2,Month-to-Month,Mailed Check,4,28,0
27,47,110.17619921354235,2681.6781762764413,202.59857128766484,0,Two Year,Mailed Check,9,26,1
28,62,66.1477464624734,185.40756071805106,298.0217977388236,4,Month-to-Month,Mailed Check,5,55,0
29,51,83.72014768082803,6629.753486112568,53.725276314454064,6,One Year,Bank Transfer,6,57,1
30,55,85.93539222057827,6427.747533186583,8.456399960803662,6,One Year,Credit Card,8,58,1
31,64,109.51177407065364,925.1906929911959,454.78221369015057,5,Month-to-Month,Electronic,0,26,0
32,3,83.66696821672073,4657.173310948332,134.8150043835914,5,Month-to-Month,Credit Card,3,25,1
33,51,81.39335847600617,3765.4554155184105,409.8385013902295,4,One Year,Mailed Check,8,61,1
34,7,26.665204056068994,1037.8018545219807,499.6751502361001,5,Month-to-Month,Electronic,4,57,1
35,21,71.8408021945204,7846.488993779716,105.71562899945557,0,One Year,Electronic,7,20,0
36,39,35.016900081704165,1796.0975109605079,132.5853705916778,4,Two Year,Bank Transfer,0,30,0
37,18,93.74337687214856,631.150022715433,331.42989381733287,7,Month-to-Month,Credit Card,3,36,0
38,4,71.22219208126745,4799.294298065086,482.72431730031064,4,Month-to-Month,Bank Transfer,8,51,0
39,60,88.02277792083532,5937.046749350958,457.90717409537194,1,One Year,Mailed Check,0,49,1
40,14,24.16729006023843,356.303223772777,251.43776003279245,2,Month-to-Month,Credit Card,0,66,1
41,9,28.47920160458032,5303.869345943475,397.5551412633623,6,Month-to-Month,Mailed Check,3,33,1
42,53,91.63233880626822,4305.10582001649,67.87292654995053,1,Month-to-Month,Bank Transfer,2,53,1
43,2,27.208433599867337,915.7935701128824,488.71909210200613,2,One Year,Bank Transfer,6,35,1
44,60,27.12567277652586,1462.9386278762604,482.17661701799324,4,Month-to-Month,Electronic,2,31,1
45,71,21.210847523488745,4586.996948797036,81.86447893958548,6,Month-to-Month,Credit Card,0,47,0
46,44,115.65013982994802,2441.225146754978,149.71156240155332,5,One Year,Credit Card,9,19,1
47,8,93.75083594590069,7512.694256345397,50.077498753383466,2,Month-to-Month,Electronic,1,30,0
48,47,55.32514085020642,6568.047812924001,135.85879944908984,4,Month-to-Month,Credit Card,9,44,0
49,35,49.653558128765525,7870.180931457938,407.9778947076033,4,Two Year,Mailed Check,3,70,0
50,36,54.97032297458495,2151.3996277082706,189.15780358262973,1,One Year,Mailed Check,0,69,0
51,50,97.46535311811819,7760.816699104019,44.198483573379185,1,Two Year,Bank Transfer,0,34,0
52,4,86.13706110704143,3506.747571353307,171.11276238945229,5,Month-to-Month,Mailed Check,7,48,1
53,2,38.51955678674679,2845.3984829786614,490.69166712064003,7,One Year,Credit Card,6,32,1
54,6,37.41093353340844,497.76126305789063,314.84179762960144,3,Month-to-Month,Electronic,7,74,1
55,54,29.839564971339733,516.8455370908607,208.08047320307887,0,Month-to-Month,Bank Transfer,3,37,1
56,4,86.03027197013381,5566.888921978572,83.269256748635,3,Month-to-Month,Electronic,5,22,1
57,54,96.43726622217359,3717.6390560288205,493.0883986418474,3,Month-to-Month,Bank Transfer,2,24,0
58,63,46.5046428325004,1889.5208456852351,410.4245046315644,6,Two Year,Bank Transfer,7,35,0
59,18,22.09449610309128,4950.365419969338,140.7386512254597,7,Month-to-Month,Electronic,3,73,1
60,44,28.217166747642736,2097.5791341758786,35.03434786059473,6,One Year,Mailed Check,2,28,0
61,34,116.78600348450304,4663.290859320939,28.312778688779016,5,One Year,Mailed Check,3,49,1
62,62,49.54447774774202,2937.7491011632537,60.18907475276691,6,One Year,Mailed Check,5,67,0
